viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,LS_SR_B2,LS_SR_B3,LS_SR_B4,LS_SR_B5,LS_SR_B6,LS_ST_B10,LS_NDWI,LS_NDSI,ground_truth_class,notes
2023-05-19,LC90710152023139LGN00,2014,5781,65.1927,-151.46696,0.8571,0.0823,0.1173,0.0681,285.4581,279.6069,46.664,158.216,48.845,51.026,0.0463,0.0699,0.0858,0.0853,0.0218,273.0297,-0.0993,0.525,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=273.03K NDSI=0.525 APPROVED.
2023-05-19,LC90710152023139LGN00,2021,5594,65.16905,-152.09871,0.5487,0.1017,0.0981,0.0398,278.7246,273.8224,46.741,157.418,49.807,50.783,0.0477,0.0604,0.0708,0.0704,0.0205,274.7831,-0.0766,0.4936,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=274.78K NDSI=0.4936 APPROVED.
2023-05-19,LC90710152023139LGN00,2035,5601,65.12175,-152.07506,0.2298,0.0862,0.1657,0.1518,290.8279,279.5051,46.693,157.437,49.898,50.47,0.06,0.0848,0.0982,0.2269,0.2619,286.2608,-0.456,-0.5108,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=286.26K NDSI=-0.5108 APPROVED.
2023-05-19,LC90710152023139LGN00,2046,5727,65.08459,-151.64939,0.0516,0.0724,0.1356,0.1341,292.2304,285.7985,46.589,157.952,49.416,50.561,0.0482,0.0572,0.0695,0.1472,0.2073,295.6228,-0.4408,-0.5678,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=295.62K NDSI=-0.5678 APPROVED.
