viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,LS_SR_B2,LS_SR_B3,LS_SR_B4,LS_SR_B5,LS_SR_B6,LS_ST_B10,LS_NDWI,LS_NDSI,ground_truth_class,notes,modis_ndvi,modis_lc_type1,modis_lc_name
2024-10-01,LC90740122024275LGN00,938,6215,68.83088,-150.00179,0.1171,0.4842,0.5536,0.0915,266.945,263.2742,74.393,154.563,49.405,41.183,0.0811,0.0708,0.0704,0.0921,0.0477,267.8651,-0.1306,0.1949,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=267.87K NDSI=0.1949 APPROVED.,-0.0035,7,Open Shrublands
2024-10-01,LC90740122024275LGN00,947,6222,68.80048,-149.97814,0.2324,0.5344,0.6053,0.0905,266.7775,262.8147,74.362,154.58,49.488,41.59,0.9343,0.8562,0.8543,0.755,0.0238,265.2093,0.0628,0.9459,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=265.21K NDSI=0.9459 APPROVED.,-0.0283,7,Open Shrublands
2024-10-01,LC90740122024275LGN00,969,6554,68.72615,-148.85652,0.0674,0.8234,0.9653,0.085,264.8306,262.2606,74.13,155.692,48.531,42.599,1.167,1.1033,1.1249,1.0048,0.0081,265.469,0.0467,0.9855,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=265.47K NDSI=0.9855 APPROVED.,-0.022,7,Open Shrublands
2024-10-01,LC90740122024275LGN00,976,6657,68.7025,-148.50855,0.1985,0.2887,0.3365,0.1143,271.9491,267.8643,74.057,156.041,48.231,42.897,0.0536,0.0936,0.0814,0.1428,0.1203,271.8915,-0.2081,-0.1248,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=271.89K NDSI=-0.1248 APPROVED.,0.0127,7,Open Shrublands
