viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,LS_SR_B2,LS_SR_B3,LS_SR_B4,LS_SR_B5,LS_SR_B6,LS_ST_B10,LS_NDWI,LS_NDSI,ground_truth_class,notes
2022-10-23,LC90710162022296LGN01,2617,5083,63.15761,-153.82478,0.0508,0.211,0.2321,0.1514,277.6286,267.5479,75.83,163.566,57.368,48.826,0.0164,0.0094,-0.0313,0.056,0.0361,269.9877,-0.7114,-0.5853,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=269.99K NDSI=-0.5853 APPROVED.
2022-10-23,LC90710162022296LGN01,2635,5188,63.0968,-153.47005,0.0875,0.1554,0.1657,0.0726,271.3004,267.9204,75.727,163.902,57.11,49.497,0.249,0.2405,0.2613,0.3113,0.0393,269.5741,-0.1283,0.7193,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=269.57K NDSI=0.7193 APPROVED.
2022-10-23,LC90710162022296LGN01,2639,5189,63.08329,-153.46667,0.0714,0.2459,0.3277,0.2739,284.0718,266.8404,75.714,163.905,57.135,49.432,0.0197,0.0037,-0.0255,0.0175,0.0016,268.9144,-0.6541,0.3916,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=268.91K NDSI=0.3916 APPROVED.
2022-10-23,LC90710162022296LGN01,2656,5249,63.02586,-153.26396,0.1475,0.331,0.4171,0.0811,268.1308,264.9894,75.634,164.102,57.025,49.249,0.486,0.4728,0.5396,0.5414,0.0453,266.8157,-0.0676,0.8251,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=266.82K NDSI=0.8251 APPROVED.
2022-10-23,LC90710162022296LGN01,2807,5060,62.51572,-153.90248,0.1147,0.3613,0.4619,0.0939,267.5659,265.4862,75.229,163.407,58.955,48.677,0.8691,0.8478,0.9166,0.8406,0.0504,266.5491,0.0042,0.8877,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=266.55K NDSI=0.8877 APPROVED.
