viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,LS_SR_B2,LS_SR_B3,LS_SR_B4,LS_SR_B5,LS_SR_B6,LS_ST_B10,LS_NDWI,LS_NDSI,ground_truth_class,notes
2025-10-11,LC90750122025284LGN00,858,4944,69.1011,-154.29676,0.0766,0.2438,0.3335,0.048,266.7402,265.1667,76.551,175.182,15.048,60.825,0.601,0.6153,0.7011,0.8983,0.1187,266.1766,-0.1869,0.6767,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=266.18K NDSI=0.6767 APPROVED.
2025-10-11,LC90750122025284LGN00,878,5648,69.03353,-151.91838,0.1071,0.1778,0.2611,0.1258,270.1009,268.1502,76.429,177.575,9.252,61.249,0.0279,0.0725,0.0717,0.3002,0.1236,269.8817,-0.6108,-0.2604,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=269.88K NDSI=-0.2604 APPROVED.
2025-10-11,LC90750122025284LGN00,1007,5847,68.59772,-151.24608,0.0654,0.3693,0.4653,0.097,269.9165,267.722,75.986,178.224,9.252,63.647,0.7395,0.6446,0.6601,0.7126,0.0802,268.265,-0.05,0.7787,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=268.26K NDSI=0.7787 APPROVED.
2025-10-11,LC90750122025284LGN00,1073,5013,68.37475,-154.06365,0.2096,0.1708,0.2165,0.1165,271.8674,268.3924,75.821,175.358,17.538,59.991,0.0908,0.1415,0.2039,0.4438,0.2939,271.078,-0.5166,-0.3501,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=271.08K NDSI=-0.3501 APPROVED.
2025-10-11,LC90750122025284LGN00,1101,5015,68.28015,-154.05689,0.4343,0.1353,0.1414,0.0915,271.945,268.9119,75.728,175.359,17.905,60.65,0.0129,0.0397,0.0344,0.0412,0.078,270.5209,-0.018,-0.3249,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=270.52K NDSI=-0.3249 APPROVED.
2025-10-11,LC90750122025284LGN00,1138,4988,68.15515,-154.14811,0.0505,0.1348,0.1915,0.1359,272.4789,268.9365,75.605,175.253,18.672,60.887,0.0253,0.0439,0.0529,0.1701,0.1818,270.8217,-0.5898,-0.611,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=270.82K NDSI=-0.611 APPROVED.
2025-10-11,LC90750122025284LGN00,1172,4874,68.04029,-154.53325,0.0552,0.1302,0.2003,0.117,269.8655,267.7431,75.503,174.865,20.075,59.788,-0.0044,0.0522,0.041,0.2424,0.09,269.3553,-0.6456,-0.2659,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=269.36K NDSI=-0.2659 APPROVED.
2025-10-11,LC90750122025284LGN00,1348,5605,67.44569,-152.06365,0.1596,0.0824,0.1166,0.08,271.6272,268.8593,74.85,177.314,16.106,61.722,-0.0042,0.0228,0.0244,0.0911,0.0818,270.7191,-0.5995,-0.5641,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=270.72K NDSI=-0.5641 APPROVED.
2025-10-11,LC90750122025284LGN00,1425,5651,67.18556,-151.90825,0.1528,0.0529,0.1073,0.0511,270.13,269.0453,74.587,177.455,16.722,60.553,0.0072,0.0095,-0.0019,0.0101,0.0158,271.0131,-0.031,-0.2504,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=271.01K NDSI=-0.2504 APPROVED.
