viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,LS_SR_B2,LS_SR_B3,LS_SR_B4,LS_SR_B5,LS_SR_B6,LS_ST_B10,LS_NDWI,LS_NDSI,ground_truth_class,notes
2025-10-11,LC90750122025284LGN00,992,5854,68.6484,-151.22244,0.0817,0.3099,0.3917,0.0899,269.5568,267.7834,76.038,178.258,8.959,60.212,0.2953,0.1824,0.0518,0.1694,0.0283,266.3714,0.037,0.7312,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=266.37K NDSI=0.7312 APPROVED.
2025-10-11,LC90750122025284LGN00,1005,5844,68.60448,-151.25622,0.1435,0.2855,0.3568,0.081,269.3056,268.457,75.995,178.211,9.251,64.192,0.5429,0.4662,0.4755,0.4824,0.0485,268.9007,-0.0171,0.8115,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=268.9K NDSI=0.8115 APPROVED.
2025-10-11,LC90750122025284LGN00,1065,5782,68.40178,-151.46568,0.3308,0.3524,0.4325,0.1075,270.2277,267.9508,75.796,177.992,10.617,62.052,0.6807,0.65,0.6452,0.6326,0.0434,268.5487,0.0136,0.8747,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=268.55K NDSI=0.8747 APPROVED.
2025-10-11,LC90750122025284LGN00,1084,5778,68.33759,-151.47919,0.1554,0.255,0.3284,0.1276,270.6418,267.6326,75.731,177.968,10.945,64.319,0.2835,0.2737,0.2506,0.3801,0.11,269.8031,-0.1627,0.4268,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=269.8K NDSI=0.4268 APPROVED.
2025-10-11,LC90750122025284LGN00,1150,5893,68.11461,-151.09068,0.1135,0.5873,0.7182,0.137,267.9893,264.8161,75.505,178.352,10.766,62.395,0.7818,0.6933,0.6981,0.6835,0.0861,263.989,0.0072,0.779,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=263.99K NDSI=0.779 APPROVED.
