viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,LS_SR_B2,LS_SR_B3,LS_SR_B4,LS_SR_B5,LS_SR_B6,LS_ST_B10,LS_NDWI,LS_NDSI,ground_truth_class,notes
2023-04-15,LC90730152023105LGN00,2087,4900,64.94764,-154.44426,0.3441,0.5324,0.6561,0.1252,271.797,266.6655,57.373,152.56,57.299,45.319,-0.0247,0.0286,0.0031,0.2275,0.0699,271.7172,-0.7764,-0.419,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=271.72K NDSI=-0.419.
2023-04-15,LC90730152023105LGN00,2101,4961,64.90034,-154.23818,0.2274,0.359,0.4503,0.119,271.8844,267.7325,57.292,152.771,57.211,45.582,0.2596,0.2298,0.3154,0.3953,0.0621,269.7723,-0.2648,0.5745,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=269.77K NDSI=0.5745.
2023-04-15,LC90730152023105LGN00,2117,4697,64.84628,-155.13007,0.2492,0.2357,0.3131,0.0826,270.6275,267.5956,57.415,151.748,58.257,44.845,0.0022,0.0705,0.039,0.1956,0.0364,269.2938,-0.4699,0.3191,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=269.29K NDSI=0.3191.
2023-04-15,LC90730152023105LGN00,2139,4518,64.77196,-155.7348,0.1363,0.199,0.3148,0.132,272.4061,267.529,57.47,151.054,59.015,43.809,0.2391,0.2742,0.3029,0.4372,0.1072,270.3739,-0.2292,0.4379,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=270.37K NDSI=0.4379.
2023-04-15,LC90730152023105LGN00,2154,4888,64.72128,-154.4848,0.0862,0.4074,0.5208,0.0995,269.5841,265.9178,57.179,152.436,57.912,45.02,0.124,0.1551,0.1851,0.2663,0.0483,269.0887,-0.2638,0.5253,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=269.09K NDSI=0.5253.
2023-04-15,LC90730152023105LGN00,2174,4882,64.65372,-154.50507,0.1339,0.3788,0.502,0.1168,271.1807,266.7076,57.129,152.381,58.101,45.416,0.3623,0.3622,0.3712,0.4572,0.0851,270.1962,-0.1159,0.6194,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=270.2K NDSI=0.6194.
2023-04-15,LC90730152023105LGN00,2244,5010,64.41723,-154.07264,0.0554,0.3804,0.4931,0.1091,271.8213,266.9498,56.833,152.791,58.242,45.291,0.9576,0.9185,0.9406,0.8757,0.0692,268.4256,0.0239,0.8599,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=268.43K NDSI=0.8599.
2023-04-15,LC90730152023105LGN00,2391,5487,63.92061,-152.46115,0.1981,0.5623,0.6912,0.1308,269.8947,264.756,56.089,154.441,57.763,47.485,1.1097,1.062,1.0932,1.0154,0.0849,267.3695,0.0224,0.852,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=267.37K NDSI=0.852.
