viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction_occ,water_fraction_sea,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,LS_B1,LS_B2,LS_B3,LS_B4,LS_B5,LS_B6,LS_SAA,LS_SZA,LS_VAA,LS_VZA,LS_NDSI,LS_ST_B10,ground_truth_class,notes,modis_ndvi,modis_lc_type1,modis_lc_name
2024-06-09,LC09_L1TP_149232_20240609_20240609_02_T1,804,5914,69.28358,-151.02007,0.3569,0.4511,0.1956,0.2056,0.0869,280.169,276.6422,49.7352,-142.6402,63.7332,-85.0535,6709.6245,6367.7515,5868.9077,5893.3975,5574.1177,5112.187,-4329,8166,-11963,552,0.0689,275.13,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=275.13K NDSI=0.0689.,0.4897,7,Open Shrublands
2024-06-09,LC09_L1TP_149232_20240609_20240609_02_T1,822,6105,69.22277,-150.3748,0.0655,0.0827,0.2817,0.3223,0.1021,280.0698,276.3057,49.8259,-141.8513,64.3802,-83.963,6633.2109,6342.4062,5807.7285,5677.8384,5873.8853,5615.501,-4271,8186,-10931,734,0.0168,273.33,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=273.33K NDSI=0.0168.,0.5561,7,Open Shrublands
2024-06-09,LC09_L1TP_149232_20240609_20240609_02_T1,842,5966,69.1552,-150.84439,0.0727,0.0842,0.1393,0.2131,0.1806,288.1028,282.0269,49.6692,-142.3816,63.9297,-84.7937,6662.0142,6448.5342,5967.1123,5976.3525,6715.168,6578.0459,-4313,8180,-11943,559,-0.0487,275.58,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=275.58K NDSI=-0.0487.,0.5246,7,Open Shrublands
2024-06-09,LC09_L1TP_149232_20240609_20240609_02_T1,868,5896,69.06736,-151.08088,0.0547,0.0452,0.1261,0.1656,0.1855,289.6186,282.6864,49.5455,-142.6185,63.7155,-85.0588,6624.3071,6343.5537,5860.1206,5790.3789,5648.4326,5474.4834,-4333,8181,-10732,447,0.034,275.73,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=275.73K NDSI=0.034.,0.368,7,Open Shrublands
2024-06-09,LC09_L1TP_149232_20240609_20240609_02_T1,895,5858,68.97615,-151.20926,0.0515,0.0409,0.1824,0.2501,0.1772,287.1107,281.4367,49.4458,-142.722,63.612,-84.8288,6640.085,6363.6982,5870.9712,5798.8945,6091.043,5825.6079,-4344,8184,-12283,371,0.0039,275.77,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=275.77K NDSI=0.0039.,0.5676,7,Open Shrublands
2024-06-09,LC09_L1TP_149232_20240609_20240609_02_T1,919,6026,68.89507,-150.64169,0.071,0.1052,0.1347,0.2331,0.2275,290.5853,283.9312,49.5048,-142.0109,64.2005,-83.9535,6521.0215,6268.3745,5758.9194,5643.2192,5795.127,5910.2305,-4294,8203,-11961,524,-0.013,275.88,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=275.88K NDSI=-0.013.,0.4347,7,Open Shrublands
2024-06-09,LC09_L1TP_149232_20240609_20240609_02_T1,938,5880,68.83088,-151.13493,0.2525,0.2473,0.1307,0.1393,0.1226,285.6755,279.8802,49.3455,-142.5701,63.7157,-84.5628,6553.375,6320.2114,5835.9224,5750.8223,5866.3984,5769.4746,-4337,8196,-12361,339,0.0057,276.08,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=276.08K NDSI=0.0057.,0.5226,7,Open Shrublands
2024-06-09,LC09_L1TP_149232_20240609_20240609_02_T1,963,5228,68.74642,-153.33764,0.1387,0.1339,0.14,0.223,0.223,291.4312,284.1425,48.8026,-145.1487,61.4018,-86.9449,6565.2856,6292.2422,5775.6069,5673.9341,5924.4648,6108.0249,-4532,8147,7245,427,-0.028,277.71,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=277.71K NDSI=-0.028.,0.5349,7,Open Shrublands
2024-06-09,LC09_L1TP_149232_20240609_20240609_02_T1,980,5649,68.68899,-151.91534,0.0781,0.1171,0.1267,0.2246,0.2286,290.8647,284.1294,49.0566,-143.4402,62.9294,-85.9538,6547.1304,6296.5708,5828.6714,5760.958,5528.9897,5090.5674,-4406,8187,17387,61,0.0676,276.93,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=276.93K NDSI=0.0676.,0.5485,7,Open Shrublands
2024-06-09,LC09_L1TP_149232_20240609_20240609_02_T1,997,6282,68.63155,-149.77682,0.1273,0.114,0.1841,0.229,0.159,285.5697,280.9196,49.4898,-140.8897,65.096,-83.8695,6444.7021,6205.8379,5793.7197,5798.7217,6516.2939,6122.7949,-4215,8244,-10867,708,-0.0276,275.39,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=275.39K NDSI=-0.0276.,0.3405,7,Open Shrublands
