viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction_occ,water_fraction_sea,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,LS_B1,LS_B2,LS_B3,LS_B4,LS_B5,LS_B6,LS_SAA,LS_SZA,LS_VAA,LS_VZA,LS_NDSI,LS_ST_B10,ground_truth_class,notes,modis_ndvi,modis_lc_type1,modis_lc_name
2024-09-23,LC09_L1TP_082013_20240923_20240923_02_T1,1344,2392,67.45804,-162.91804,0.115,0.1428,0.1168,0.2539,0.2423,279.1916,276.2867,69.5735,-155.0207,52.7933,-93.5242,7653.4644,7124.4653,6466.584,6476.0015,9111.2363,8411.0889,17687,6804,-6190,631,-0.1307,276.11,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=276.11K NDSI=-0.1307.,0.4482,7,Open Shrublands
2024-09-23,LC09_L1TP_082013_20240923_20240923_02_T1,1362,2355,67.39723,-163.04304,0.4022,0.4085,0.1215,0.1665,0.2045,282.243,277.2552,69.5006,-155.1359,52.5944,-93.3777,8083.5098,7591.3472,6971.6841,6956.3179,7155.6035,7944.731,17674,6798,-6196,613,-0.0652,277.86,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=277.86K NDSI=-0.0652.,0.1801,7,Open Shrublands
2024-09-23,LC09_L1TP_082013_20240923_20240923_02_T1,1375,2347,67.35331,-163.07007,0.6639,0.7213,0.1201,0.1273,0.1391,281.1253,276.0441,69.4536,-155.1684,52.5252,-93.1947,7726.6284,7231.3511,6585.9961,6219.9639,5498.5156,5191.3252,17671,6793,-6201,622,0.1184,275.51,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=275.51K NDSI=0.1184.,0.2324,10,Grasslands
2024-09-23,LC09_L1TP_082013_20240923_20240923_02_T1,1387,2395,67.31277,-162.90791,0.2274,0.2054,0.1032,0.1614,0.1809,279.7423,276.871,69.4432,-154.9928,52.766,-93.3968,7666.2998,7118.3511,6417.5034,6369.3345,8088.3315,8636.8438,17689,6789,-6204,695,-0.1474,277.61,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=277.61K NDSI=-0.1474.,0.4377,7,Open Shrublands
2024-09-23,LC09_L1TP_082013_20240923_20240923_02_T1,1405,2406,67.25196,-162.87074,0.2703,0.2668,0.1114,0.1837,0.1968,279.7985,276.7008,69.3929,-154.9505,52.8008,-93.1476,7716.1719,7204.7393,6555.8091,6633.5239,9174.9277,9324.4619,17694,6783,-7066,735,-0.1743,278.12,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=278.12K NDSI=-0.1743.,0.482,7,Open Shrublands
2024-09-23,LC09_L1TP_082013_20240923_20240923_02_T1,1453,2227,67.0898,-163.47547,0.3273,0.3895,0.0839,0.1044,0.0746,276.3474,275.3383,69.1453,-155.5728,51.7794,-93.9639,7776.8022,7208.3638,6406.418,6227.248,8155.9819,7059.1719,17630,6768,-7250,592,-0.0485,276.3,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=276.3K NDSI=-0.0485.,0.5025,11,Permanent Wetlands
2024-09-23,LC09_L1TP_082014_20240923_20240923_02_T1,2145,1351,64.7502,-166.43372,0.1323,0.1149,0.1236,0.2785,0.2654,280.7956,277.2246,66.4963,-158.5251,44.9447,-97.0311,8076.1421,7552.8066,6955.2788,7212.2817,10074.0371,10405.7646,17317,6546,-6329,401,-0.1987,278.66,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=278.66K NDSI=-0.1987.,0.479,10,Grasslands
2024-09-23,LC09_L1TP_082013_20240923_20240923_02_T1,1324,2323,67.52561,-163.15115,0.1231,0.1572,0.1077,0.2311,0.2307,279.412,276.744,69.5999,-155.2667,52.4641,-93.4105,7611.5405,7080.0811,6383.771,6318.6934,8874.6992,8509.4375,17663,6811,-7324,527,-0.1427,,ice_free_river_snow_free_land,NDSI=-0.1427. No thermal — ice status unknown.,0.5712,7,Open Shrublands
2024-09-23,LC09_L1TP_082013_20240923_20240923_02_T1,1336,2393,67.48507,-162.91466,0.1914,0.1975,0.1003,0.1714,0.1331,278.8702,276.0934,69.6007,-155.0136,52.8164,-93.1012,7607.5381,7054.9229,6347.8208,6288.3691,8000.8135,8192.5674,17687,6806,-6187,621,-0.1269,,ice_free_river_snow_free_land,NDSI=-0.1269. No thermal — ice status unknown.,0.4717,1,Evergreen Needleleaf Forests
2024-09-23,LC09_L1TP_082013_20240923_20240923_02_T1,1344,2344,67.45804,-163.0802,0.4211,0.3932,0.13,0.1542,0.1684,282.1506,276.6954,69.5487,-155.1843,52.5518,-93.1594,7804.2334,7315.8325,6646.6089,6574.5044,7175.5806,7423.4961,17671,6804,-7236,579,-0.0552,,ice_free_river_snow_free_land,NDSI=-0.0552. No thermal — ice status unknown.,0.2864,1,Evergreen Needleleaf Forests
2024-09-23,LC09_L1TP_082013_20240923_20240923_02_T1,1353,2320,67.42764,-163.16128,0.0886,0.0904,0.1202,0.2467,0.2601,279.9845,277.0354,69.5063,-155.2718,52.4064,-93.7167,7706.2979,7211.6123,6556.7007,6653.9321,8944.7559,9281.2344,17662,6801,-7266,564,-0.172,,ice_free_river_snow_free_land,NDSI=-0.172. No thermal — ice status unknown.,0.4905,7,Open Shrublands
2024-09-23,LC09_L1TP_082013_20240923_20240923_02_T1,1366,2391,67.38372,-162.92142,0.223,0.2392,0.0915,0.1177,0.1064,277.6017,275.6986,69.5039,-155.0143,52.7667,-93.1392,7684.2842,7159.2241,6484.4155,6553.0938,8604.4307,8907.8105,17687,6796,-6198,661,-0.1574,,ice_free_river_snow_free_land,NDSI=-0.1574. No thermal — ice status unknown.,0.481,7,Open Shrublands
2024-09-23,LC09_L1TP_082013_20240923_20240923_02_T1,1370,2358,67.3702,-163.03291,0.2929,0.2277,0.1222,0.1437,0.1566,281.4052,276.9554,69.475,-155.1263,52.5951,-93.1662,7734.0093,7189.0835,6454.397,6354.8042,6954.6616,7621.8828,17675,6795,-6199,628,-0.0829,,ice_free_river_snow_free_land,NDSI=-0.0829. No thermal — ice status unknown.,0.3334,11,Permanent Wetlands
2024-09-23,LC09_L1TP_082013_20240923_20240923_02_T1,1374,2370,67.35669,-162.99236,0.1551,0.1489,0.1185,0.2214,0.2446,280.843,277.455,69.4684,-155.0894,52.6438,-93.6063,7675.2939,7100.0659,6348.231,6192.6729,6923.6523,8047.5156,17679,6794,-6201,648,-0.118,,ice_free_river_snow_free_land,NDSI=-0.118. No thermal — ice status unknown.,0.4278,7,Open Shrublands
