viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,LS_SR_B2,LS_SR_B3,LS_SR_B4,LS_SR_B5,LS_SR_B6,LS_ST_B10,LS_NDWI,LS_NDSI,ground_truth_class,notes
2025-10-11,LC90750122025284LGN00,1056,5796,68.43218,-151.41838,0.1012,0.3355,0.4179,0.1158,269.9607,267.7511,75.824,178.041,10.375,62.893,-0.0048,0.0225,-0.0369,0.0521,0.003,268.7298,-0.3969,0.7682,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=268.73K NDSI=0.7682 APPROVED.
2025-10-11,LC90750122025284LGN00,1103,5013,68.2734,-154.06365,0.3549,0.1452,0.1831,0.1656,272.813,268.8508,75.724,175.354,17.936,60.552,0.0448,0.0554,0.0715,0.2106,0.2063,270.326,-0.5833,-0.5765,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=270.33K NDSI=-0.5765 APPROVED.
2025-10-11,LC90750122025284LGN00,1112,5009,68.24299,-154.07716,0.3641,0.0976,0.1185,0.0725,270.6466,268.5472,75.694,175.34,18.089,59.896,0.003,0.0029,0.0037,0.0773,0.1144,270.6302,-0.9285,-0.9511,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=270.63K NDSI=-0.9511 APPROVED.
2025-10-11,LC90750122025284LGN00,1149,5890,68.11799,-151.10081,0.0784,0.6084,0.7659,0.1605,269.0119,265.4861,75.507,178.341,10.788,62.559,0.7145,0.6844,0.7148,0.6586,0.1188,265.9373,0.0192,0.7042,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=265.94K NDSI=0.7042 APPROVED.
