viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,LS_SR_B2,LS_SR_B3,LS_SR_B4,LS_SR_B5,LS_SR_B6,LS_ST_B10,LS_NDWI,LS_NDSI,ground_truth_class,notes,modis_ndvi,modis_lc_type1,modis_lc_name
2024-10-01,LC90740122024275LGN00,997,5257,68.63156,-153.23828,0.0618,0.4139,0.4949,0.1499,270.6235,262.8867,74.741,151.292,53.176,38.307,1.1145,1.0305,1.0481,0.9345,0.023,267.1404,0.0488,0.9563,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=267.14K NDSI=0.9563 APPROVED.,0.0024,7,Open Shrublands
2024-10-01,LC90740122024275LGN00,1012,5188,68.58088,-153.47138,0.0824,0.5401,0.6133,0.1029,267.6369,261.9822,74.738,151.048,53.544,38.337,1.097,1.013,1.0072,0.8927,0.0136,264.7205,0.0631,0.9735,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=264.72K NDSI=0.9735 APPROVED.,-0.0108,7,Open Shrublands
2024-10-01,LC90740122024275LGN00,1165,6163,68.06399,-150.17747,0.1299,0.2687,0.2521,0.1276,280.2893,264.956,73.734,154.254,52.133,41.533,0.76,0.6745,0.6455,0.5625,0.2417,264.7547,0.0905,0.4723,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=264.75K NDSI=0.4723 APPROVED.,-0.0447,10,Grasslands
2024-10-01,LC90740122024275LGN00,1205,6263,67.92885,-149.83963,0.0536,0.5636,0.6799,0.5477,284.3991,261.9959,73.562,154.567,52.192,41.947,0.4444,0.4531,0.455,0.4864,0.352,263.6096,-0.0354,0.1256,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=263.61K NDSI=0.1256 APPROVED.,0.72,7,Open Shrublands
