viirs_date,landsat_scene,river,reach_id,nearest_node_id,dist_to_node_m,sword_width_m,sword_max_width_m,row_shared_grid,col_shared_grid,lat,lon,water_fraction,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,LS_SR_B2,LS_SR_B3,LS_SR_B4,LS_SR_B5,LS_SR_B6,LS_ST_B10,LS_NDWI,LS_NDSI,ground_truth_class,notes
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400011,81390400010011,1073.1,453.0,2971.0,600,6605,69.97128,-148.68412,0.5582,0.1243,0.107,0.0773,283.3738,279.6771,47.42,-163.207,41.002,-99.421,0.0708,0.0908,0.0957,0.086,0.061,281.8243,0.0272,0.1961,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=281.82K NDSI=0.1961.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400011,81390400010221,1123.4,132.5,2971.0,613,6609,69.92736,-148.67061,0.1656,0.2883,0.355,0.2059,288.5616,282.6501,47.378,-163.181,40.978,-100.034,0.0706,0.1033,0.1084,0.2284,0.2696,286.8282,-0.3773,-0.446,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=286.83K NDSI=-0.446.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400011,81390400010591,271.6,210.0,210.0,630,6595,69.86993,-148.71791,0.752,0.1208,0.0976,0.0778,283.8469,280.1895,47.32,-163.23,40.83,-99.553,0.061,0.085,0.0949,0.0514,0.0132,278.4883,0.2461,0.7306,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=278.49K NDSI=0.7306.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400321,81390400320111,895.6,96.0,1626.0,569,6663,70.07601,-148.48818,0.2338,0.1197,0.1489,0.1305,285.3586,280.8775,47.539,-162.982,41.477,-100.149,0.0605,0.0955,0.1243,0.0802,0.0351,281.2979,0.0869,0.4628,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=281.3K NDSI=0.4628.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400011,81390400010791,1093.2,273.0,2971.0,643,6596,69.82601,-148.71453,0.7584,0.1236,0.1122,0.0994,287.7293,282.0288,47.276,-163.215,40.786,-100.176,0.0616,0.0853,0.1002,0.0617,0.0289,280.4673,0.1604,0.4939,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=280.47K NDSI=0.4939.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400321,81390400320361,409.6,170.5,1626.0,577,6637,70.04899,-148.57601,0.695,0.1145,0.0983,0.0732,282.5633,279.3963,47.504,-163.088,41.281,-100.018,0.049,0.07,0.0791,0.0898,0.0923,282.6138,-0.1236,-0.1372,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=282.61K NDSI=-0.1372.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390500071,81390500070441,293.7,120.5,120.5,567,6709,70.08277,-148.33277,0.1248,0.1205,0.1722,0.1429,285.1257,280.5897,47.563,-162.798,41.759,-100.008,0.0415,0.0608,0.0657,0.1762,0.1367,282.7061,-0.487,-0.3845,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=282.71K NDSI=-0.3845.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400321,81390400320691,1264.7,159.0,1626.0,592,6608,69.99831,-148.67399,0.1858,0.1206,0.1123,0.089,283.0511,279.656,47.448,-163.189,41.066,-99.665,0.1612,0.1834,0.2186,0.2297,0.1431,284.7432,-0.1121,0.1236,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=284.74K NDSI=0.1236.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400031,81390400030071,310.0,192.0,1897.0,670,6616,69.7348,-148.64696,0.454,0.1131,0.096,0.0623,283.0753,279.9193,47.195,-163.122,40.803,-100.266,0.0681,0.0886,0.0977,0.1049,0.096,282.7403,-0.084,-0.0399,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=282.74K NDSI=-0.0399.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390500011,81390500010081,78.7,271.5,2064.0,532,6811,70.20101,-147.98818,0.4216,0.1439,0.1494,0.0858,281.9907,278.1362,47.712,-162.394,42.504,-99.581,0.0287,0.0408,0.0588,0.1334,0.1214,280.4058,-0.5316,-0.4972,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=280.41K NDSI=-0.4972.
